Dataset,Algorithm,N_Clusters,N_Noise,Silhouette,Davies-Bouldin,Calinski-Harabasz
TF-IDF Full (500 feat),K-Means,10,0,0.10908195092763531,3.4689216782137726,94.46494510967946
TF-IDF Full (500 feat),K-Means (k=3),3,0,0.04440286293046825,4.2371542918559095,113.99426802839622
TF-IDF Full (500 feat),Agglomerative (Ward),10,0,0.11065517832340659,2.5986495381861916,96.87757426167839
TF-IDF Full (500 feat),Agglomerative (Complete),10,0,0.03816020914028291,5.596010620311718,35.865122404612364
TF-IDF Full (500 feat),DBSCAN (eps=0.5),131,2023,0.7892816369494117,0.4418934724384878,341.99347995932493
TF-IDF Full (500 feat),DBSCAN (eps=1.0),1,155,,,
TF-IDF Full (500 feat),Mean Shift,1,0,,,
TF-IDF Full (500 feat),BIRCH,10,0,0.04707478256183088,4.178635001882775,53.99774476699403
TF-IDF Reduced (100 feat),K-Means,10,0,0.14212912698083682,2.3874334374786508,159.54734889603614
TF-IDF Reduced (100 feat),K-Means (k=3),3,0,0.06595791864320265,3.554512949810974,188.4468621578024
TF-IDF Reduced (100 feat),Agglomerative (Ward),10,0,0.1295187463783009,2.3719691324389673,142.09144132882162
TF-IDF Reduced (100 feat),Agglomerative (Complete),10,0,0.05841286833741419,4.065861516494398,74.36156591503823
TF-IDF Reduced (100 feat),DBSCAN (eps=0.5),119,1652,0.6292239572300656,0.6241951991816503,224.37255028507516
TF-IDF Reduced (100 feat),DBSCAN (eps=1.0),1,1,,,
TF-IDF Reduced (100 feat),Mean Shift,1,0,,,
TF-IDF Reduced (100 feat),BIRCH,10,0,0.060599789915559595,3.395265365016063,91.91609172399173
Count Vec (200 feat),K-Means,10,0,0.5210184044584472,1.31697569500743,1127.2453054298924
Count Vec (200 feat),K-Means (k=3),3,0,0.9136924610938225,0.47690186645012417,2481.569634448086
Count Vec (200 feat),Agglomerative (Ward),10,0,0.5156725093153713,0.8356461256860974,1158.5878825483467
Count Vec (200 feat),Agglomerative (Complete),10,0,0.7884838015371611,0.7053826720673505,1050.7928288243288
Count Vec (200 feat),DBSCAN (eps=0.5),85,3377,1.0,0.0,1.0
Count Vec (200 feat),DBSCAN (eps=1.0),24,3611,0.8042715344319238,0.43315629259612837,35654.090361885435
Count Vec (200 feat),Mean Shift,2440,0,0.33087743760126104,0.1477875969682969,8459.950930074945
Count Vec (200 feat),BIRCH,10,0,0.5061057128968639,0.7953072941267133,1143.059962865168
TF-IDF + Stats,K-Means,10,0,0.11609977110372258,1.9156973828435508,1391.2367218507652
TF-IDF + Stats,K-Means (k=3),3,0,0.3764282607766996,0.9216255969772279,3124.5357106146585
TF-IDF + Stats,Agglomerative (Ward),10,0,0.09128588544286463,1.8871783884882034,1266.2161567156447
TF-IDF + Stats,Agglomerative (Complete),10,0,0.4896310769918788,0.6837166356997778,685.5147056600814
TF-IDF + Stats,DBSCAN (eps=0.5),130,2004,0.7438102504690717,0.5046554821936104,559.6053495961326
TF-IDF + Stats,DBSCAN (eps=1.0),14,325,-0.14762446956435366,0.8321730741616324,243.0444813521661
TF-IDF + Stats,Mean Shift,10,0,0.5618215180827515,0.6180302490599129,597.4682949644468
TF-IDF + Stats,BIRCH,10,0,0.08560188788595317,1.541553185775902,1172.9029530760222
PCA (50 comp),K-Means,10,0,0.2165006764056911,1.3908597779345997,196.6728341216908
PCA (50 comp),K-Means (k=3),3,0,0.22226636254626142,0.7362460701457737,225.3428166119699
PCA (50 comp),Agglomerative (Ward),10,0,0.2071672413927523,1.6893527974737768,209.89523281962727
PCA (50 comp),Agglomerative (Complete),10,0,0.1802068815195997,1.867541158609275,164.66904204926544
PCA (50 comp),DBSCAN (eps=0.5),8,12,0.08004676784042158,0.8753589345501718,86.1255515238071
PCA (50 comp),DBSCAN (eps=1.0),1,0,,,
PCA (50 comp),Mean Shift,1,0,,,
PCA (50 comp),BIRCH,10,0,0.20212659504872302,1.666234025529444,166.5943070146008
SVD (50 comp),K-Means,10,0,0.17152859962043973,1.8580952185997508,190.31143637557898
SVD (50 comp),K-Means (k=3),3,0,0.18250471065280882,1.3012023376869417,219.12481853087257
SVD (50 comp),Agglomerative (Ward),10,0,0.19582361956181993,1.7488728690279907,209.6424255873082
SVD (50 comp),Agglomerative (Complete),10,0,0.16965040612247054,2.1710712283860096,163.89798691241342
SVD (50 comp),DBSCAN (eps=0.5),7,12,0.08006063259385623,0.8831940308814046,88.93907877068347
SVD (50 comp),DBSCAN (eps=1.0),1,0,,,
SVD (50 comp),Mean Shift,1,0,,,
SVD (50 comp),BIRCH,10,0,0.17053636637881367,1.814162227224165,165.30342524338258
